081VALPARAI      LAT=33 02.0S  LONG=071 38.0W
081VALPARAI1944 11  9999 9999  839  825  841  833  824  809  801  796  786
081VALPARAI1944 12   809  809  787  795  796  785  800  801  790  803  809
081VALPARAI1944 13   820  850  838  829  824  806  823  823  793
081VALPARAI1944 21   779  797  816  804  798  814  818  829  850  843  874
081VALPARAI1944 22   889  869  871  903  910  888  886  873  870  828  791
081VALPARAI1944 23   836  838  802  800  813  828  819
081VALPARAI1944 31   774  764  781  779  762  766  765  763  801  816  818
081VALPARAI1944 32   827  816  818  845  854  832  838  846  849  812  795
081VALPARAI1944 33   802  789  776  796  833  836  840  847  801
081VALPARAI1944 41   790  786  811  838  795  811  857  858  826  805  819
081VALPARAI1944 42   833  838  843  857  846  818  788  790  783  797  796
081VALPARAI1944 43   769  766  789  779  727  716  736  748
081VALPARAI1944 51   774  789  771  744  772  769  732  732  727  761  800
081VALPARAI1944 52   833  822  809  799  777  798  780  764  817  827  805
081VALPARAI1944 53   812  868  866  875  844  778  782  775  723
081VALPARAI1944 61   692  660  652  725  755  690  697  772  773  764  764
081VALPARAI1944 62   754  764  800  793  780  805  840  885  917  937  927
081VALPARAI1944 63   876  786  709  724  776  791  802  797
081VALPARAI1944 71   811  821  795  735  689  730  780  753  768  807  800
081VALPARAI1944 72   806  776  732  751  770  780  752  716  679  686  694
081VALPARAI1944 73   680  705  739  765  794  782  776  747  758
081VALPARAI1944 81   793  817  830  830  758  758  812  860  801  764  808
081VALPARAI1944 82   830  794  720  694  690  661  693  734  752  762  753
081VALPARAI1944 83   733  747  717  701  670  662  712  655  636
081VALPARAI1944 91   659  649  670  662  639  650  652  638  697  709  662
081VALPARAI1944 92   647  635  646  624  644  673  694  715  705  709  684
081VALPARAI1944 93   659  662  684  695  717  733  723  702
081VALPARAI1944101   677  714  771  701  670  683  685  717  696  663  695
081VALPARAI1944102   722  732  707  696  682  691  703  720  736  753  752
081VALPARAI1944103   730  744  789  795  699  644  682  725  739
081VALPARAI1944111   713  684 9999 9999 9999 9999 9999 9999 9999 9999 9999
081VALPARAI1944112  9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
081VALPARAI1944113  9999 9999 9999 9999 9999 9999 9999 9999
081VALPARAI1944121  9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
081VALPARAI1944122  9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
081VALPARAI1944123  9999 9999 9999 9999 9999 9999 9999 9999 9999
081VALPARAI1945 11  9999 9999  751  718  703  738  741  748  775  767  741
081VALPARAI1945 12   721  751  794  788  757  778  790  774  798  809  797
081VALPARAI1945 13   787  798  793  790  779  783  790  782  761
081VALPARAI1945 21   733  736  775  823  783  781  783  780  787  776  780
081VALPARAI1945 22   778  749  730  738  753  762  760  754  752  767  760
081VALPARAI1945 23   752  771  790  773  761  771
081VALPARAI1945 31   811  873  862  832  832  822  816  825  836  830  827
081VALPARAI1945 32   826  809  809  782  787  795  801  818  842  829  750
081VALPARAI1945 33   734  747  738  745  764  787  784  778  809
081VALPARAI1945 41   813  771  765  780  780  783  783  796  800  758  759
081VALPARAI1945 42   797  777  773  804  804  801  798  786  784  783  769
081VALPARAI1945 43   750  744  787  794  782  770  755  761
081VALPARAI1945 51   757  762  783  772  776  785  757  725  725  723  711
081VALPARAI1945 52   707  701  723  749  758  765  763  733  769  817  795
081VALPARAI1945 53   773  803  802  789  825  833  829  800  789
081VALPARAI1945 61   836  846  805  806  866  890  877  875  876  874  875
081VALPARAI1945 62   855  865  902  886  857  824  764  751  783  805  824
081VALPARAI1945 63   811  811  832  808  782  811  844  865
081VALPARAI1945 71   829  798  786  743  696  711  731  707  697  749  781
081VALPARAI1945 72   729  712  724  693  682  672  690  709  739  702  675
081VALPARAI1945 73   681  687  690  672  632  637  696  717  740
081VALPARAI1945 81   814  759  780  789  722  746  768  787  770  715  747
081VALPARAI1945 82   740  765  794  773  762  708  731  777  770  758  778
081VALPARAI1945 83   838  846  784  777  782  744  723  725  745
081VALPARAI1945 91   772  750  765  756  749  749  793  797  771  776  816
081VALPARAI1945 92   800  758  782  766  767  766  752  781  784  753  728
081VALPARAI1945 93   747  787  774  754  734  745  733  746
081VALPARAI1945101   738  724  737  754  779  766  751  709  721  734  727
081VALPARAI1945102   744  753  721  707  705  700  698  687  702  737  756
