456Tubuai        LAT=23 20.5S  LONG=149 28.5W
456Tubuai  2019 31  9999 9999  723  751  757  723  689  689  708  713  708
456Tubuai  2019 32   710  724  708  702  708  726  735  746  741  744  764
456Tubuai  2019 33   756  763  756  749  755  783  797  746  723
456Tubuai  2019 41   755  792  809  822  805  789  760  755  767  774  791
456Tubuai  2019 42   805  793  773  768  788  804  813  819  802  769  771
456Tubuai  2019 43   787  769  763  771  770  758  745  752
456Tubuai  2019 51   767  786  794  778  767  783  810  831  831  794  779
456Tubuai  2019 52   794  792  769  742  748  769  769  751  763  762  777
456Tubuai  2019 53   784  770  754  735  710  721  721  693  684
456Tubuai  2019 61   685  677  688  680  649  642  642  650  650  637  647
456Tubuai  2019 62   642  633  635  656  657  644  656  675  727  744  675
456Tubuai  2019 63   611  605  646  696  725  706  666  656
456Tubuai  2019 71   668  669  677  670  678  754  756  725  733  748  784
456Tubuai  2019 72   788  782  785  764  763  755  752  756  777  795  846
456Tubuai  2019 73   895  856  802  773  758  758  767  768  783
456Tubuai  2019 81   785  790  805  819  820  812  811  814  816  817  787
456Tubuai  2019 82   794  800  796  787  795  815  807  795  812  793  759
456Tubuai  2019 83   752  770  789  787  749  768  823  815  788
456Tubuai  2019 91   755  719  688  658  630  605  609  642  653  650  643
456Tubuai  2019 92   645  623  603  610  622  666  715  697  669  662  660
456Tubuai  2019 93   633  593  589  621  649  643  638  638
456Tubuai  2019101   647  667  670  688  699  654  627  663  685  701  694
456Tubuai  2019102   683  698  711  722  711  684  681  695  703  707  728
456Tubuai  2019103   722  724  727  724  743  747  738  721  707
456Tubuai  2019111   723  765  833  831  799  788  756  755  758  774  771
456Tubuai  2019112   730  721  717  711  699  701  702  679  674  674  651
456Tubuai  2019113   658  701  741  731  701  678  652  656
456Tubuai  2019121   647  636  633  609  562  542  537  575  583  571  573
456Tubuai  2019122   566  566  543  567  595  593  596  586  598  618  620
456Tubuai  2019123   628  635  614  616  638  652  650  672  712
456Tubuai  2020 11   747  780  802  777  738  708  696  684  706  717  718
456Tubuai  2020 12   711  740  744  740  750  718  682  684  719  716  689
456Tubuai  2020 13   666  671  688  708  722  744  791  793  808
456Tubuai  2020 21   836  839  795  770  762  745  745  752  749  767  765
456Tubuai  2020 22   795  824  834  835  795  785  784  781  734  699  708
456Tubuai  2020 23   713  720  739  743  737  751  782
456Tubuai  2020 31   786  787  770  743  748  751  746  734  740  743  735
456Tubuai  2020 32   715  694  683  711  730  769  776  748  745  736  727
456Tubuai  2020 33   703  714  718  714  722  726  719  709  722
456Tubuai  2020 41   742  761  768  785  799  784  765  765  780  793  786
456Tubuai  2020 42   768  788  796  792  783  798  792  769  768  781  789
456Tubuai  2020 43   795  790  801  802  808  814  824  821
456Tubuai  2020 51   801  789  798  826  835  805  788  775  775  784  817
456Tubuai  2020 52   821  805  811  832  851  860  864  839  815  803  802
456Tubuai  2020 53   825  842  840  819  788  770  765  765  758
456Tubuai  2020 61   751  764  825  869  859  796  746  728  736  742  759
456Tubuai  2020 62   781  778  765  736  753  774  754  726  688  646  633
456Tubuai  2020 63   663  734  785  758  710  689  696  730
456Tubuai  2020 71   746  770  765  753  763  757  719  714  730  758  776
456Tubuai  2020 72   794  809  824  793  766  758  755  737  717  720  716
456Tubuai  2020 73   722  731  748  772  796  798  813  844  807
456Tubuai  2020 81   770  748  751  747  736  731  754  760  744  764  756
456Tubuai  2020 82   727  716  717  740  754  733  704  692  696  687  688
456Tubuai  2020 83   710  748  751  752  749  739  735  748  781
456Tubuai  2020 91   802  798  789  791  802  807  788  786  800  799  799
456Tubuai  2020 92   773  778  774  760  766  768  759  744  745  757  759
456Tubuai  2020 93   744  729  705  701  705  688  671  689
456Tubuai  2020101   717  728  733  721  713  704  683  681  677  674  700
456Tubuai  2020102   712  728  744  738  731  705  691  688  693  697  697
456Tubuai  2020103   711  756  757  737  743  788  758  705  701
456Tubuai  2020111   706  697  702  714  736  749  755  755  751  746  758
456Tubuai  2020112   761  777  786  774  762  747  737  714  700  719  729
456Tubuai  2020113   729  762  779  772  766  768  768  738
456Tubuai  2020121   710  716  748  752  749  744  760  756  742  735  729
456Tubuai  2020122   710  697 9999 9999  584  608  639  662  657  645  649
456Tubuai  2020123   674  680  670  676  630  603  605  599  584
456Tubuai  2021 11   566  559  561  567  560  558  576  588  595  580  574
456Tubuai  2021 12   575  580  585  605  607  601  594  619  645  633  622
456Tubuai  2021 13   626  622  611  602  616  643  654  655  653
456Tubuai  2021 21   662  672  678  678  680  666  643  634  633  643  655
456Tubuai  2021 22   667  684  693  693  671  671  695  706  743  768  805
456Tubuai  2021 23   787  765  792  785  761  762
456Tubuai  2021 31    22  927  732  734  727  731  765  783  757  746  751
456Tubuai  2021 32   754  754  754  755  755  773  783  793  818  806  778
456Tubuai  2021 33   766  765  774  792  815  836  851  866  874
456Tubuai  2021 41   873  859  844  833  837  842  844  859  868  870  883
456Tubuai  2021 42   901  908  912  893  891  891  866  855  852  857  854
456Tubuai  2021 43   864  865  843  832  825  832  865  891
456Tubuai  2021 51   869  885  894  869  859  856  858  839  828  855  868
456Tubuai  2021 52   865  841  807  788  790  794  787  803  825  835  847
456Tubuai  2021 53   866  876  866  829  828  866  874  862  838
456Tubuai  2021 61   796  788  822  856  878  884  821  786  800  853  851
456Tubuai  2021 62   775  729  741  741  740  731  735  781  815  800  774
456Tubuai  2021 63   753  743  762  782  761  732  702  680
