UH#,Location,Country,Latitude,Longitude,Start,End
001,Pohnpei,Micronesia (Federated States of),6.978,158.197,12/17/2001,12/31/2018
002,"Tarawa, Betio",Kiribati,1.363,172.93,12/4/1992,12/31/2018
003,Baltra,Ecuador,-0.437,-90.285,3/26/1985,12/31/2018
004,Nauru,Nauru,-0.532,166.91,7/8/1993,12/31/2018
005,Majuro,Marshall Islands (the),7.108,171.372,5/14/1993,12/31/2018
007,Malakal,Palau,7.33,134.463,5/19/1969,12/31/2018
008,Yap,Micronesia (Federated States of),9.508,138.128,5/11/1969,12/31/2018
009,Honiara,Solomon Islands,-9.422,159.955,7/28/1994,12/31/2018
011,Christmas,Kiribati,1.982,-157.472,2/7/1974,12/31/2018
013,Kanton,Kiribati,-2.81,-171.718,5/2/1972,12/31/2018
014,French Frigate,United States of America (the),23.868,-166.288,5/27/2007,10/3/2018
015,Papeete,France,-17.525,-149.567,6/9/1975,10/29/2018
016,Rikitea,France,-23.125,-134.953,10/6/1969,11/30/2018
017,Hiva Oa,France,-9.805,-139.035,9/5/2010,11/30/2018
018,Suva,Fiji,-18.132,178.427,1/27/1998,12/31/2018
019,Noumea,France,-22.242,166.417,2/25/1967,11/30/2018
021,Juan Fernandez,Chile,-33.622,-78.833,9/5/1985,12/31/2018
022,Easter,Chile,-27.15,-109.448,4/3/1970,12/31/2018
023,Rarotonga,Cook Islands (the),-21.2,-159.787,2/20/1993,12/31/2018
024,Penrhyn,Cook Islands (the),-8.977,-158.053,4/17/1977,12/31/2018
025,Funafuti,Tuvalu,-8.503,179.21,3/24/1993,12/31/2018
028,Saipan,United States of America (the),15.227,145.742,9/19/1978,11/30/2018
029,Kapingamarangi,Micronesia (Federated States of),1.098,154.777,9/9/1978,12/5/2018
030,Santa Cruz,Ecuador,-0.755,-90.313,10/20/1978,12/31/2018
031,Nuku Hiva,France,-8.93,-140.082,4/1/1982,11/30/2018
033,Bitung,Indonesia,1.44,125.193,9/3/2008,11/30/2018
034,Cabo San Lucas,Mexico,22.88,-109.908,6/13/1973,9/13/2014
035,San Felix,Chile,-26.292,-80.108,11/7/1987,12/31/2018
038,Nuku'alofa,Tonga,-21.133,-175.167,6/21/1990,12/31/2018
039,"Kodiak Isl., Alaska",United States of America (the),57.732,-152.512,1/2/1975,11/30/2018
040,"Adak, Alaska",United States of America (the),51.858,-176.635,3/17/1950,11/30/2018
041,"Dutch Harbor, AK",United States of America (the),53.88,-166.537,1/2/1982,11/30/2018
043,Palmyra Island,United States of America (the),5.888,-162.083,11/30/2012,11/30/2018
046,Port Vila,Vanuatu,-17.767,168.3,1/15/1993,12/31/2018
047,Chichijima,Japan,27.1,142.183,4/1/1975,11/29/2018
049,Minamitorishima,Japan,24.3,153.983,8/1/1997,11/30/2018
050,Midway,United States of America (the),28.217,-177.367,2/9/1947,11/30/2018
051,Wake,United States of America (the),19.283,166.617,5/31/1950,11/30/2018
052,Johnston,United States of America (the),16.738,-169.53,5/2/1947,11/30/2018
053,Guam,United States of America (the),13.433,144.65,3/11/1948,12/31/2018
055,Kwajalein,Marshall Islands (the),8.733,167.733,6/8/1946,12/31/2018
056,Pago Pago,American Samoa,-14.283,-170.683,9/9/1948,12/31/2018
057,"Honolulu, Hawaii",United States of America (the),21.307,-157.867,1/2/1905,12/31/2018
058,Nawiliwili,United States of America (the),21.967,-159.35,12/2/1954,12/31/2018
059,Kahului,United States of America (the),20.9,-156.467,10/20/1950,12/31/2018
060,"Hilo, Hawaii",United States of America (the),19.733,-155.067,1/23/1927,12/31/2018
061,Mokuoloe,United States of America (the),21.433,-157.8,5/2/1957,12/31/2018
071,Wellington,New Zealand,-41.283,174.783,11/18/1944,12/30/2018
072,Bluff,New Zealand,-46.6,168.35,10/1/1984,12/30/2018
079,Chatham,New Zealand,-43.947,-176.562,1/1/2001,2/14/2016
080,Antofagasta,Chile,-23.65,-70.4,12/7/1945,12/31/2018
081,Valparaiso,Chile,-33.033,-71.633,1/3/1944,11/30/2018
082,Acajutla,El Salvador,13.573,-89.838,8/20/2010,11/30/2018
083,Arica,Chile,-18.467,-70.333,4/1/2006,12/31/2018
084,Lobos de Afuera,Peru,-6.933,-80.717,7/20/2005,4/10/2007
087,Quepos,Costa Rica,9.425,-84.172,10/9/2009,11/30/2018
088,Caldera,Chile,-27.067,-70.833,1/2/1980,11/30/2018
090,Socorro,Mexico,18.733,-111.017,5/6/1992,9/21/1997
091,La Libertad,Ecuador,-2.2,-80.917,9/2/1949,11/30/2018
092,Talara,Peru,-4.582,-81.282,5/31/2015,11/30/2018
093,Callao,Peru,-12.05,-77.15,1/2/1970,11/30/2018
094,Matarani,Peru,-17.002,-72.108,1/2/1989,12/31/2018
101,Mombasa,Kenya,-4.07,39.657,6/18/1986,11/30/2018
103,Port Louis,Mauritius,-20.155,57.495,8/1/1986,11/30/2018
104,Diego Garcia,United Kingdom of Great Britain and Northern Ireland (the),-7.29,72.393,8/27/2003,11/30/2018
105,Rodrigues,Mauritius,-19.668,63.418,11/9/1986,11/30/2018
107,Padang,Indonesia,-0.997,100.375,12/8/2005,11/30/2018
108,"Male, Hulule",Maldives,4.19,73.527,8/27/1989,11/30/2018
109,Gan,Maldives,-0.687,73.152,3/5/1987,11/30/2018
110,Muscat,Oman,23.628,58.565,12/11/2009,11/14/2018
113,Masirah,Oman,20.687,58.872,12/8/1996,11/28/2018
114,Salalah,Oman,16.935,54.007,10/2/1989,3/24/2018
115,Colombo,Sri Lanka,6.942,79.85,5/9/2006,11/30/2018
117,Hanimaadhoo,Maldives,6.767,73.173,10/1/2002,11/30/2018
118,Ko Miang,Thailand,8.567,97.633,11/20/2001,10/31/2002
119,Djibouti,Djibouti,11.608,43.14,2/21/2007,5/10/2016
121,Pt. La Rue,Seychelles,-4.672,55.528,1/11/1993,11/30/2018
122,Sibolga,Indonesia,1.75,98.767,4/26/2005,11/30/2018
123,Sabang,Indonesia,5.888,95.317,12/19/2005,11/30/2018
124,Chittagong,Bangladesh,22.247,91.825,7/1/2007,11/30/2018
125,Prigi,Indonesia,-8.28,111.73,2/26/2007,11/30/2018
126,Jask,Iran (Islamic Republic of),25.63,57.77,10/28/2009,4/4/2016
127,"Syowa, Antarctica",Antarctica,-69,39.6,2/1/1987,12/30/2013
128,Thevenard,Australia,-32.15,133.64,3/20/1992,12/31/2018
129,"Portland, S.Aus.",Australia,-38.333,141.6,1/1/1991,12/31/2018
130,Casey,Australia,-66.283,110.533,1/9/1996,11/15/2008
133,Ambon,Indonesia,-3.683,128.183,10/2/2008,11/30/2018
142,Langkawi,Malaysia,6.432,99.765,11/30/1985,11/30/2018
147,Karachi,Pakistan,24.812,66.975,2/1/2007,11/30/2018
148,Ko Taphao Noi,Thailand,7.832,98.425,1/1/1985,10/30/2018
149,Lamu,Kenya,-2.272,40.903,6/30/1995,11/30/2018
151,Zanzibar,"Tanzania, United Republic of",-6.155,39.19,3/2/1984,11/30/2018
153,Minicoy,India,8.117,73.05,10/1/2011,8/18/2015
155,Dzaoudzi,France,-12.782,45.258,11/15/2008,11/30/2018
157,Vishakhapatnam,India,17.683,83.283,10/1/2011,11/30/2018
162,Cilicap,Indonesia,-7.752,109.017,2/21/2007,11/30/2018
163,Benoa,Indonesia,-8.747,115.212,1/25/2006,11/30/2018
164,Reunion,France,-20.935,55.285,1/1/1982,11/30/2018
166,Broome,Australia,-18,122.217,7/13/1986,12/31/2018
167,Carnarvon,Australia,-24.898,113.652,4/8/1984,12/31/2012
168,Darwin,Australia,-12.467,130.85,1/1/1984,12/31/2018
169,Port Hedland,Australia,-20.318,118.575,1/1/1984,6/2/2012
170,Christmas,Australia,-10.417,105.667,1/1/2008,12/31/2018
171,Cocos,Australia,-12.117,96.883,12/12/1985,12/31/2018
172,Aden,Yemen,12.788,44.975,10/10/2007,10/15/2018
173,Davis,Australia,-68.45,77.967,4/23/1993,1/27/2010
174,Cochin,India,9.967,76.267,10/1/2011,10/12/2018
175,Fremantle,Australia,-32.05,115.717,1/1/1984,12/30/2018
176,Esperance,Australia,-33.867,121.9,1/1/1985,11/30/2018
177,Mawson,Australia,-67.6,62.867,1/6/1992,12/20/2009
178,Crozet,France,-46.425,51.87,11/19/1995,7/28/2001
179,Saint Paul,France,-38.712,77.538,10/26/1994,12/23/2006
180,Kerguelen,France,-49.345,70.22,4/6/1993,5/31/2013
181,Durban,South Africa,-29.867,31.05,10/1/1970,10/31/2018
184,Port Elizabeth,South Africa,-33.96,25.63,3/2/1973,10/31/2018
185,Mossel Bay,South Africa,-34.183,22.133,1/1/1964,10/31/2018
186,Knysna,South Africa,-32.033,23.033,1/1/1966,10/31/2018
187,East London,South Africa,-33.017,27.917,5/22/1965,10/31/2018
188,Richard's Bay,South Africa,-28.8,32.083,6/9/1977,10/31/2018
